Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 30 – February 26,Monthly,0.8,0.2 - 1.3,1203,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,February 27 – March 26 ,Monthly,1,0.4 - 1.6,1292,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,March 27 – April 30 ,Monthly,1.2,0.4 - 1.9,797,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 2 – January 29,Monthly,1.5,0.8 - 2.2,1107,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,May 30 – June 26,Monthly,10.6,8.3 - 13.5,1184,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,April 22 – May 29,Monthly,10.9,8.0 - 14.7,911,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,November 28 – December 31,Monthly,4.6,2.7 - 6.5,888,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,September 26 – October 30,Monthly,5.1,3.5 - 6.7,1034,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,October 31 – November 27,Monthly,5.3,2.3 - 8.3,383,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 29 – September 25,Monthly,7,5.2 - 9.3,1050,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 1 – August 28,Monthly,8.6,6.2 - 11.8,848,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,June 27 – July 31,Monthly,9.5,6.5 - 13.8,547,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,March 27 – April 30 ,Monthly,0.1,0.0 - 0.2,797,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,February 27 – March 26 ,Monthly,0.3,0.0 - 0.6,1292,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 30 – February 26,Monthly,0.4,0.0 - 1.0,1203,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 2 – January 29,Monthly,0.6,0.1 - 1.1,1107,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,October 31 – November 27,Monthly,1.6,0.0 - 3.3,383,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,November 28 – December 31,Monthly,2.2,0.8 - 3.6,888,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,September 26 – October 30,Monthly,3.5,2.1 - 4.9,1034,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 1 – August 28,Monthly,3.5,2.1 - 5.7,848,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 29 – September 25,Monthly,4,2.7 - 5.8,1050,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,June 27 – July 31,Monthly,6.4,4.0 - 10.1,547,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,May 30 – June 26,Monthly,7.6,5.6 - 10.1,1184,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,April 22 – May 29,Monthly,8.8,6.4 - 12.0,911,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),April 22 – May 29,Monthly,73.2,68.6 - 77.3,911,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),May 30 – June 26,Monthly,78.1,74.5 - 81.4,1184,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),June 27 – July 31,Monthly,80.6,75.2 - 85.0,547,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 1 – August 28,Monthly,84.3,80.4 - 87.6,848,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 29 – September 25,Monthly,87.6,84.7 - 90.1,1050,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),September 26 – October 30,Monthly,90.4,88.2 - 92.6,1034,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),November 28 – December 31,Monthly,92.3,89.8 - 94.7,888,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),October 31 – November 27,Monthly,92.5,89.0 - 96.0,383,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 2 – January 29,Monthly,97.6,96.6 - 98.5,1107,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),February 27 – March 26 ,Monthly,98.7,98.0 - 99.4,1292,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),March 27 – April 30 ,Monthly,98.8,98.0 - 99.5,797,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 30 – February 26,Monthly,98.8,98.0 - 99.6,1203,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,February 27 – March 26 ,Monthly,0,0.0 - 0.0,1292,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,March 27 – April 30 ,Monthly,0,0.0 - 0.0,797,0
Jurisdictional Estimates,Connecticut,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 30 – February 26,Monthly,0.1,0.0 - 0.1,1203,0
